taxa	pred_type	manual_est_range		type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
FN433379.1.1490	brackishRestricted	5 to 10	YES	brackishRestricted	brackishRestricted	0.000215349	0.004313587	0	8	10	8.95E-07	2.15E-07	0.104574503	No	8	10
FN668024.1.1494	freshRestricted	0 to 12	YES	freshRestricted	freshRestricted	0.004661499	0.000343118	0	4	12	0.000128025	0.052026047	1.95E-05	No	4.588854717	
FN668149.1.1477				brackishBloom	brackishRestricted	0.000553289	0.006421806	0.001253766	5	8	0.007167448	7.92E-05	0.20419506	brackish	5	8
FN668164.1.1486	freshRestricted	3 to 15	YES	freshRestricted	freshRestricted	0.010295369	0.005845795	0.00107015	7	9	0.028785725	2.87E-06	1.22E-09	No	8.035345564	
FN668174.1.1485	brackishRestricted	3 to 10	 NO	freshRestricted	freshRestricted	0.012224326	0.006510118	0.000194607	4	9	0.005329982	1.35E-08	3.44E-12	No	6.624961885	
FR683265.1.1270				noclass	noclass	7.78E-05	0.003975724	0	27	34	1.17E-11	0.127653179	0.456092789	No		
FR683778.1.1492				marineRestricted	marineRestricted	3.86E-05	0.006361991	0.004157904	21	27	1.52E-29	0.129166955	1.45E-16	No	21	
FR683916.1.1496	marineRestricted	23 to 35	 NO	noclass	noclass	0	0.004008617	0	22.5	34	1.97E-19	0.064472671	1	No		
FR684321.1.1504	brackishRestricted	15 to 34	YES	brackishPeakHiToler	brackishRestricted	0.000185273	0.024073124	0.005048615	17	29	1.07E-35	6.16E-06	4.87E-15	No	17	29
FR684623.1.1425	brackishRestricted	8 to 35	YES	brackishPeakHiToler	brackishRestricted	0.000827537	0.028404944	0.008699216	16	28	1.40E-28	2.58E-05	6.10E-15	No	16	28
FR684647.1.1499				noclass	noclass	0	0.003740561	0	22.5	34	4.33E-16	0.093954136	1	No		
FR684854.1.1444				brackishRestricted	brackishRestricted	0	0.006867596	0.001183746	22.5	30	8.50E-28	0.003281343	4.44E-08	No	22.5	30
FR685162.1.1495				marineRestricted	marineRestricted	0.000121493	0.004798861	0.009124862	30	33	1.04E-07	0.225217894	2.22E-12	No	31.4414607	
FR685295.1.1420	brackishRestricted	16 to 24	YES	brackishRestricted	brackishRestricted	0	0.010057865	0.002062387	17	33	1.01E-31	0.005146037	6.53E-06	No	17	33
FR685712.1.1471				brackishRestricted	brackishRestricted	0	0.005923317	0.001121424	17	27	9.64E-25	0.001724337	2.43E-06	No	17	27
FR744555.1.1406				brackishPeakHiToler	brackishRestricted	8.73E-05	0.015396842	0.004784079	21	30	3.54E-34	0.001951137	4.66E-13	No	21	30
FUWD013203132.1920.3311	brackishRestricted	5 to 35	YES	brackishRestricted	brackishRestricted	0.001894598	0.019202673	0.001469854	15	17	1.74E-07	5.29E-05	0.282204276	No	15	17
FUWD013231544.2516.3765				brackishRestricted	brackishRestricted	0.000552756	0.001845758	0.000644676	6	9	0.013997943	0.002382048	0.428995194	No	6	9
